FISHID,MASS,TRIAL,SMR_contr,CHANGE
1,35.69,LowSalinity,5.84746559650606,-31.9193890168384
2,33.84,LowSalinity,6.53070733563781,2.52092863646451
3,37.78,LowSalinity,5.65955594827216,-6.28496807313843
4,26.58,LowSalinity,6.27820007393776,-4.34667464586521
5,37.62,LowSalinity,4.40733576104195,-3.07132858932402
6,37.68,LowSalinity,4.81858889564912,-15.0564558954402
7,30.62,LowSalinity,5.77778622625987,-16.438018616148
8,50.37,LowSalinity,3.98431933224657,56.5474250563622
9,24.93,LowSalinity,5.08010796905836,21.8303906604616
10,34.2,LowSalinity,4.23337880632931,33.4794381645253
11,28.71,LowSalinity,4.27611693218051,44.257936180626
12,26.6,LowSalinity,4.53316426571112,31.2643772542366
13,35.84,LowSalinity,4.93949244748931,15.5200109743412
14,29.38,LowSalinity,4.32515791986855,37.0676427497409
15,31.93,LowSalinity,5.70339428875125,-22.6934289359572
16,36.15,LowSalinity,5.28225921561364,-7.50463367383059
17,40.39,LowSalinity,5.00571804358482,-52.6741236780362
18,42.19,LowSalinity,4.16923870672134,-9.23450907045891
19,37.36,LowSalinity,4.38898153370026,-55.0130317179662
20,50.13,LowSalinity,5.82225660001617,-27.529466868472
21,39.03,LowSalinity,4.8604022222978,-12.3795890925829
22,35.68,LowSalinity,6.70053678032019,-43.7996986160704
23,43.06,LowSalinity,4.27829745385063,-11.269665489507
24,36.12,LowSalinity,5.01272515419866,-22.8628266637301
25,44.69,LowSalinity,5.35308417918801,-28.8501150421082
26,36.08,LowSalinity,5.28793012296864,-12.8445600896985
27,38.05,LowSalinity,5.25144123056529,-7.17001351500657
28,51.46,LowSalinity,5.00768162785842,25.3145096728493
29,47.73,LowSalinity,5.53031341596636,14.4629766165452
30,35.95,LowSalinity,5.98424122397347,8.66850544726417
31,35.88,LowSalinity,5.28195354024127,-52.5186300121313
32,40.06,LowSalinity,6.15555945315133,-20.4790678073299
33,33.83,LowSalinity,5.03084720856665,52.1264015968079
34,26.83,LowSalinity,6.08125935687661,37.5513936266677
35,52.98,LowSalinity,4.85878268654615,-26.9069886429001
36,23.79,LowSalinity,5.73929453802116,-31.1289939931758
37,41.44,LowSalinity,5.72362571390711,-27.083494472809
38,38.95,LowSalinity,5.11189580231778,-26.2398564712477
39,36.51,LowSalinity,4.64673721993264,4.19503825141515
40,33.68,LowSalinity,5.09421842926496,-22.7758099491507
41,33.95,LowSalinity,5.46295084131617,21.9249357932921
42,39.9,LowSalinity,5.58615075417597,16.8534813505338
43,44.99,LowSalinity,4.88860337723669,26.9074248433937
